Date,Product,Category,Country,Revenue,Quantity,Cost,Customer_Segment
2023-01-01,Atorvastatin 20mg (30ct),Cardiovascular,USA,468.24,24,171.41,Retail Pharmacy
2023-01-01,Atorvastatin 20mg (30ct),Cardiovascular,India,353.3,18,134.42,Government Tender
2023-01-01,Loratadine 10mg (14ct),Allergy,USA,144.94,14,47.06,Government Tender
2023-01-01,Multivitamin Complex,Supplements,Germany,64.12,5,28.19,Hospital
2023-01-01,Multivitamin Complex,Supplements,India,31.69,2,10.97,Government Tender
2023-01-01,Multivitamin Complex,Supplements,UK,469.93,35,191.19,Government Tender
2023-01-01,Atorvastatin 20mg (30ct),Cardiovascular,Germany,459.73,27,188.3,Hospital
2023-01-01,Loratadine 10mg (14ct),Allergy,India,361.66,34,111.79,Retail Pharmacy
2023-01-01,Salbutamol Inhaler,Respiratory,Japan,737.51,36,337.39,Government Tender
2023-01-01,Omeprazole 20mg (28ct),Gastro,Germany,195.82,18,86.6,Government Tender
2023-01-01,Ibuprofen 400mg (30ct),Pain Relief,USA,81.33,14,28.97,Government Tender
2023-01-01,Atorvastatin 20mg (30ct),Cardiovascular,Germany,325.19,20,145.53,Retail Pharmacy
2023-01-02,Amoxicillin 500mg (20ct),Antibiotics,Japan,148.99,10,60.64,Retail Pharmacy
2023-01-02,Salbutamol Inhaler,Respiratory,Germany,557.2,23,216.03,Hospital
2023-01-02,Omeprazole 20mg (28ct),Gastro,Germany,305.65,24,117.77,Government Tender
2023-01-02,Amoxicillin 500mg (20ct),Antibiotics,India,407.53,33,196.91,Hospital
2023-01-02,Loratadine 10mg (14ct),Allergy,Germany,129.66,13,42.22,Government Tender
2023-01-03,Amoxicillin 500mg (20ct),Antibiotics,Japan,29.85,2,11.14,Government Tender
2023-01-03,Multivitamin Complex,Supplements,Brazil,196.64,12,68.61,Retail Pharmacy
2023-01-03,Salbutamol Inhaler,Respiratory,USA,897.78,39,360.51,Retail Pharmacy
2023-01-03,Atorvastatin 20mg (30ct),Cardiovascular,Brazil,985.42,50,364.95,Hospital
2023-01-03,Multivitamin Complex,Supplements,USA,107.76,8,44.68,Retail Pharmacy
2023-01-03,Insulin Glargine Pen,Diabetes Care,India,3664.4,54,1704.05,Hospital
2023-01-03,Multivitamin Complex,Supplements,Germany,178.76,14,78.41,Retail Pharmacy
2023-01-03,Ibuprofen 400mg (30ct),Pain Relief,USA,125.03,21,44.43,Government Tender
2023-01-03,Multivitamin Complex,Supplements,Japan,193.35,14,78.77,Government Tender
2023-01-03,Loratadine 10mg (14ct),Allergy,Brazil,117.07,12,40.42,Hospital
2023-01-03,Ibuprofen 400mg (30ct),Pain Relief,Germany,40.7,7,15.01,Retail Pharmacy
2023-01-04,Omeprazole 20mg (28ct),Gastro,Japan,696.65,63,303.57,Retail Pharmacy
2023-01-04,Salbutamol Inhaler,Respiratory,Germany,458.0,24,208.89,Government Tender
2023-01-04,Omeprazole 20mg (28ct),Gastro,USA,503.69,40,201.64,Retail Pharmacy
2023-01-04,Amoxicillin 500mg (20ct),Antibiotics,Germany,105.89,7,39.18,Government Tender
2023-01-04,Insulin Glargine Pen,Diabetes Care,Japan,1626.42,27,842.9,Retail Pharmacy
2023-01-04,Multivitamin Complex,Supplements,Brazil,454.29,29,155.45,Retail Pharmacy
2023-01-04,Multivitamin Complex,Supplements,USA,524.66,36,203.39,Retail Pharmacy
2023-01-04,Atorvastatin 20mg (30ct),Cardiovascular,Germany,163.33,8,59.77,Government Tender
2023-01-04,Omeprazole 20mg (28ct),Gastro,Brazil,126.6,10,47.34,Government Tender
2023-01-05,Loratadine 10mg (14ct),Allergy,Brazil,325.1,33,108.74,Retail Pharmacy
2023-01-05,Atorvastatin 20mg (30ct),Cardiovascular,UK,258.99,15,108.75,Hospital
2023-01-05,Atorvastatin 20mg (30ct),Cardiovascular,India,1131.13,64,472.13,Hospital
2023-01-05,Ibuprofen 400mg (30ct),Pain Relief,Germany,20.63,3,6.59,Government Tender
2023-01-05,Insulin Glargine Pen,Diabetes Care,India,1312.73,18,584.56,Government Tender
2023-01-05,Omeprazole 20mg (28ct),Gastro,USA,80.73,6,30.18,Government Tender
2023-01-05,Loratadine 10mg (14ct),Allergy,Japan,66.21,7,23.51,Hospital
2023-01-05,Omeprazole 20mg (28ct),Gastro,USA,191.65,18,86.97,Government Tender
2023-01-05,Atorvastatin 20mg (30ct),Cardiovascular,Japan,540.65,30,226.0,Government Tender
2023-01-05,Atorvastatin 20mg (30ct),Cardiovascular,USA,68.8,4,27.67,Government Tender
2023-01-05,Omeprazole 20mg (28ct),Gastro,Brazil,165.07,14,68.46,Hospital
2023-01-05,Insulin Glargine Pen,Diabetes Care,UK,1658.38,27,876.83,Hospital
2023-01-05,Ibuprofen 400mg (30ct),Pain Relief,USA,195.39,31,64.52,Government Tender
2023-01-06,Omeprazole 20mg (28ct),Gastro,Brazil,369.46,34,163.45,Retail Pharmacy
2023-01-06,Omeprazole 20mg (28ct),Gastro,Germany,270.65,21,100.87,Government Tender
2023-01-06,Salbutamol Inhaler,Respiratory,UK,117.59,5,46.52,Retail Pharmacy
2023-01-06,Ibuprofen 400mg (30ct),Pain Relief,India,105.14,17,35.17,Hospital
2023-01-06,Salbutamol Inhaler,Respiratory,Brazil,469.16,23,209.13,Government Tender
2023-01-06,Atorvastatin 20mg (30ct),Cardiovascular,Germany,596.65,32,240.94,Government Tender
2023-01-06,Amoxicillin 500mg (20ct),Antibiotics,India,121.83,10,55.31,Retail Pharmacy
2023-01-06,Multivitamin Complex,Supplements,India,187.48,12,65.44,Retail Pharmacy
2023-01-06,Loratadine 10mg (14ct),Allergy,India,129.07,13,42.56,Hospital
2023-01-06,Loratadine 10mg (14ct),Allergy,Japan,325.72,35,118.46,Government Tender
2023-01-07,Ibuprofen 400mg (30ct),Pain Relief,USA,58.34,10,21.37,Hospital
2023-01-07,Loratadine 10mg (14ct),Allergy,Japan,483.59,52,170.49,Government Tender
