Date,Product,Category,Country,Revenue,Quantity,Cost,Customer_Segment
2023-01-01,Smartwatch Lite,Electronics,Portugal,3654.75,23,1741.54,In-Store
2023-01-01,Adjustable Dumbbells,Fitness,Italy,2076.14,9,1006.77,In-Store
2023-01-01,Trail Sneakers,Footwear,Netherlands,2056.49,28,1009.34,Online
2023-01-01,Yoga Mat,Fitness,France,1493.65,40,533.33,Online
2023-01-01,Denim Jacket,Apparel,Netherlands,1363.7,15,751.89,In-Store
2023-01-01,Running Shoes Pro,Footwear,France,5913.72,71,2983.89,Wholesale
2023-01-01,Smartwatch Lite,Electronics,Spain,4451.88,28,2110.63,Wholesale
2023-01-01,Trail Sneakers,Footwear,France,668.19,10,360.2,Online
2023-01-01,Trail Sneakers,Footwear,France,4863.51,65,2326.44,Online
2023-01-02,Yoga Mat,Fitness,Netherlands,525.47,14,188.34,Wholesale
2023-01-02,Yoga Mat,Fitness,Germany,1142.72,32,444.45,Online
2023-01-02,Smartwatch Lite,Electronics,Spain,4236.55,30,2228.54,Wholesale
2023-01-02,Cotton T-Shirt,Apparel,Italy,84.43,4,31.96,Wholesale
2023-01-02,Adjustable Dumbbells,Fitness,Portugal,5976.25,31,3396.37,Online
2023-01-02,Yoga Mat,Fitness,France,559.69,17,228.91,Online
2023-01-02,Cotton T-Shirt,Apparel,Netherlands,837.02,35,293.03,Online
2023-01-03,Wireless Earbuds,Electronics,Germany,6147.29,44,2725.0,Online
2023-01-03,Trail Sneakers,Footwear,Portugal,1459.18,20,665.12,Wholesale
2023-01-03,Trail Sneakers,Footwear,Italy,1648.71,24,831.93,Online
2023-01-03,Adjustable Dumbbells,Fitness,Spain,3392.96,15,1651.02,In-Store
2023-01-03,Denim Jacket,Apparel,Italy,1715.15,21,962.5,In-Store
2023-01-03,Cotton T-Shirt,Apparel,Portugal,637.69,29,224.51,Online
2023-01-03,Cotton T-Shirt,Apparel,Netherlands,1047.49,54,449.16,Online
2023-01-03,Wireless Earbuds,Electronics,Portugal,1521.38,11,652.6,Online
2023-01-03,Wireless Earbuds,Electronics,Spain,235.69,2,122.32,Wholesale
2023-01-03,Cotton T-Shirt,Apparel,France,85.12,4,33.42,In-Store
2023-01-03,Cotton T-Shirt,Apparel,Germany,142.52,7,58.75,Online
2023-01-03,Cotton T-Shirt,Apparel,Germany,959.19,41,324.62,In-Store
2023-01-03,Cotton T-Shirt,Apparel,Portugal,203.0,9,74.52,In-Store
2023-01-03,Trail Sneakers,Footwear,Germany,365.58,5,166.79,Wholesale
2023-01-03,Trail Sneakers,Footwear,Italy,1573.77,21,738.48,In-Store
2023-01-04,Running Shoes Pro,Footwear,Netherlands,3562.78,44,1937.95,Online
2023-01-04,Adjustable Dumbbells,Fitness,Netherlands,4720.5,23,2592.6,Online
2023-01-04,Denim Jacket,Apparel,Italy,1454.85,16,793.6,Wholesale
2023-01-04,Running Shoes Pro,Footwear,Spain,323.83,4,173.87,Online
2023-01-04,Adjustable Dumbbells,Fitness,Italy,2570.62,12,1316.91,Wholesale
2023-01-04,Trail Sneakers,Footwear,Italy,2666.81,39,1349.85,In-Store
2023-01-04,Yoga Mat,Fitness,Italy,1252.77,36,498.94,Wholesale
2023-01-04,Yoga Mat,Fitness,Italy,754.61,20,280.95,In-Store
2023-01-04,Adjustable Dumbbells,Fitness,Netherlands,2032.61,10,1098.46,Wholesale
2023-01-04,Running Shoes Pro,Footwear,Portugal,1317.41,14,614.24,In-Store
2023-01-04,Running Shoes Pro,Footwear,Germany,3360.65,35,1456.17,Online
2023-01-04,Yoga Mat,Fitness,Italy,1645.71,46,652.81,Online
2023-01-04,Denim Jacket,Apparel,France,5351.79,54,2684.14,Wholesale
2023-01-04,Yoga Mat,Fitness,Italy,603.07,19,266.33,Online
2023-01-05,Cotton T-Shirt,Apparel,Netherlands,329.9,15,122.17,Online
2023-01-05,Running Shoes Pro,Footwear,Portugal,3723.94,40,1623.25,Wholesale
2023-01-05,Cotton T-Shirt,Apparel,Germany,464.28,21,164.66,Online
2023-01-05,Adjustable Dumbbells,Fitness,Germany,1305.45,7,765.99,Wholesale
2023-01-05,Trail Sneakers,Footwear,Germany,482.4,7,239.09,Online
2023-01-05,Adjustable Dumbbells,Fitness,Netherlands,5020.27,28,3185.47,Online
2023-01-05,Running Shoes Pro,Footwear,Germany,815.8,9,385.06,In-Store
2023-01-05,Denim Jacket,Apparel,Germany,4347.76,42,1915.77,Wholesale
2023-01-05,Smartwatch Lite,Electronics,France,10139.03,58,4270.45,Wholesale
2023-01-06,Wireless Earbuds,Electronics,France,5917.95,47,2889.35,Online
2023-01-06,Denim Jacket,Apparel,Italy,1961.05,24,1136.37,In-Store
2023-01-06,Denim Jacket,Apparel,France,3736.1,43,2131.68,In-Store
2023-01-06,Trail Sneakers,Footwear,Italy,2568.67,32,1138.55,Wholesale
2023-01-06,Cotton T-Shirt,Apparel,France,787.38,34,260.11,Online
2023-01-07,Running Shoes Pro,Footwear,Germany,1677.54,18,737.2,Online
2023-01-07,Yoga Mat,Fitness,Germany,855.15,25,360.18,Wholesale
2023-01-07,Running Shoes Pro,Footwear,Netherlands,1226.44,13,558.99,Online
2023-01-07,Running Shoes Pro,Footwear,Netherlands,2963.26,39,1639.45,In-Store
2023-01-07,Wireless Earbuds,Electronics,Netherlands,2336.86,19,1148.49,In-Store
2023-01-07,Denim Jacket,Apparel,Italy,3213.82,31,1502.12,Online
2023-01-07,Smartwatch Lite,Electronics,Portugal,2524.57,16,1201.97,Wholesale
2023-01-07,Yoga Mat,Fitness,Portugal,368.4,10,140.19,Wholesale
2023-01-07,Yoga Mat,Fitness,Germany,754.12,21,295.83,In-Store
2023-01-07,Running Shoes Pro,Footwear,Germany,1504.02,16,705.52,In-Store
2023-01-08,Wireless Earbuds,Electronics,Italy,5018.29,36,2172.28,Wholesale
2023-01-08,Yoga Mat,Fitness,Italy,796.86,24,333.9,Online
2023-01-08,Cotton T-Shirt,Apparel,France,344.99,15,122.27,Wholesale
2023-01-08,Adjustable Dumbbells,Fitness,Italy,3534.68,19,2148.15,In-Store
2023-01-08,Denim Jacket,Apparel,Netherlands,520.02,6,284.18,Wholesale
2023-01-08,Denim Jacket,Apparel,Spain,1646.07,18,847.79,In-Store
2023-01-08,Wireless Earbuds,Electronics,Spain,812.46,7,417.44,In-Store
2023-01-09,Adjustable Dumbbells,Fitness,Portugal,7646.34,37,4054.92,Wholesale
2023-01-09,Running Shoes Pro,Footwear,Italy,443.49,5,218.71,In-Store
2023-01-09,Trail Sneakers,Footwear,France,2042.8,29,1019.44,Wholesale
2023-01-09,Denim Jacket,Apparel,Germany,1694.57,19,903.82,In-Store
2023-01-09,Cotton T-Shirt,Apparel,Spain,441.7,23,186.6,Wholesale
2023-01-09,Wireless Earbuds,Electronics,Portugal,3065.02,22,1318.24,Wholesale
2023-01-09,Adjustable Dumbbells,Fitness,France,4144.16,23,2535.45,Online
2023-01-09,Cotton T-Shirt,Apparel,Spain,1365.17,58,445.74,Wholesale
2023-01-10,Cotton T-Shirt,Apparel,Germany,1326.54,58,473.54,In-Store
2023-01-10,Adjustable Dumbbells,Fitness,Germany,7583.47,40,4506.2,In-Store
2023-01-10,Wireless Earbuds,Electronics,France,1858.42,16,979.19,Wholesale
2023-01-10,Yoga Mat,Fitness,Spain,368.39,10,143.08,Online
2023-01-10,Denim Jacket,Apparel,Portugal,444.43,5,243.42,In-Store
2023-01-10,Adjustable Dumbbells,Fitness,Spain,4402.53,24,2742.87,Wholesale
2023-01-10,Cotton T-Shirt,Apparel,Portugal,452.51,22,171.6,In-Store
2023-01-10,Smartwatch Lite,Electronics,Netherlands,6022.49,36,2764.67,In-Store
2023-01-11,Trail Sneakers,Footwear,Portugal,4702.79,71,2538.7,Online
2023-01-11,Wireless Earbuds,Electronics,Germany,4623.95,34,2093.74,Wholesale
2023-01-11,Running Shoes Pro,Footwear,Spain,2342.83,24,1002.16,Wholesale
2023-01-11,Denim Jacket,Apparel,Spain,1969.29,20,934.64,In-Store
2023-01-11,Wireless Earbuds,Electronics,France,1134.54,9,565.77,Wholesale
2023-01-11,Adjustable Dumbbells,Fitness,France,1483.34,7,764.48,In-Store
2023-01-11,Adjustable Dumbbells,Fitness,France,3759.33,20,2224.99,Online
2023-01-11,Trail Sneakers,Footwear,Spain,556.62,7,242.3,Online
2023-01-12,Trail Sneakers,Footwear,France,696.0,11,371.81,Online
2023-01-12,Adjustable Dumbbells,Fitness,Germany,5984.57,29,3157.16,Online
2023-01-12,Trail Sneakers,Footwear,Spain,2871.05,40,1466.93,In-Store
2023-01-12,Yoga Mat,Fitness,Germany,1335.96,36,493.86,In-Store
2023-01-12,Wireless Earbuds,Electronics,France,3110.31,23,1325.14,In-Store
2023-01-12,Yoga Mat,Fitness,Italy,330.22,9,128.97,Wholesale
2023-01-12,Wireless Earbuds,Electronics,Spain,4603.34,37,2200.87,Wholesale
2023-01-12,Smartwatch Lite,Electronics,Italy,6720.46,41,3158.31,Wholesale
2023-01-12,Yoga Mat,Fitness,Spain,310.62,9,127.77,Online
2023-01-12,Smartwatch Lite,Electronics,Italy,4732.04,30,2261.74,In-Store
2023-01-12,Adjustable Dumbbells,Fitness,France,2503.23,12,1281.61,In-Store
2023-01-13,Wireless Earbuds,Electronics,Netherlands,3464.82,26,1498.47,Online
2023-01-13,Trail Sneakers,Footwear,Portugal,3050.94,40,1469.12,Wholesale
2023-01-13,Adjustable Dumbbells,Fitness,France,1999.07,10,1130.55,In-Store
2023-01-13,Smartwatch Lite,Electronics,Spain,2159.68,13,987.34,Wholesale
2023-01-13,Adjustable Dumbbells,Fitness,Germany,4798.05,24,2632.69,Online
2023-01-14,Yoga Mat,Fitness,Italy,954.04,31,415.29,In-Store
2023-01-14,Wireless Earbuds,Electronics,Spain,3310.05,28,1641.61,Wholesale
2023-01-15,Yoga Mat,Fitness,Netherlands,766.3,22,319.64,Online
2023-01-16,Wireless Earbuds,Electronics,Portugal,242.4,2,121.45,Wholesale
2023-01-16,Denim Jacket,Apparel,Spain,3514.45,34,1703.89,In-Store
2023-01-16,Trail Sneakers,Footwear,France,996.58,13,447.37,Wholesale
2023-01-16,Denim Jacket,Apparel,France,2981.43,31,1466.93,In-Store
2023-01-16,Yoga Mat,Fitness,Spain,874.67,26,361.92,Wholesale
2023-01-16,Smartwatch Lite,Electronics,Portugal,5356.17,36,2649.75,In-Store
2023-01-17,Yoga Mat,Fitness,Spain,880.37,24,350.85,In-Store
2023-01-17,Cotton T-Shirt,Apparel,Spain,176.28,9,72.01,Online
2023-01-17,Denim Jacket,Apparel,Netherlands,1273.66,13,639.9,In-Store
2023-01-17,Trail Sneakers,Footwear,France,679.03,9,322.27,Online
2023-01-17,Denim Jacket,Apparel,France,2590.31,25,1150.89,Online
2023-01-17,Yoga Mat,Fitness,Spain,763.99,20,279.2,Online
2023-01-18,Smartwatch Lite,Electronics,Spain,2306.89,17,1265.43,Online
2023-01-18,Cotton T-Shirt,Apparel,Germany,149.61,7,53.77,Online
2023-01-18,Yoga Mat,Fitness,Italy,150.69,4,57.25,Online
2023-01-18,Denim Jacket,Apparel,Portugal,6453.27,64,3110.03,Online
2023-01-19,Wireless Earbuds,Electronics,Netherlands,1097.84,10,574.23,In-Store
2023-01-19,Denim Jacket,Apparel,Germany,1873.01,20,992.4,Wholesale
2023-01-19,Wireless Earbuds,Electronics,Netherlands,7713.34,55,3149.78,Online
2023-01-19,Denim Jacket,Apparel,Spain,2170.83,23,1124.35,In-Store
2023-01-19,Yoga Mat,Fitness,France,1415.27,37,533.14,Online
2023-01-19,Denim Jacket,Apparel,France,1846.61,20,959.56,Online
2023-01-19,Cotton T-Shirt,Apparel,France,479.29,21,171.96,In-Store
2023-01-19,Wireless Earbuds,Electronics,Spain,1518.9,12,728.28,Online
2023-01-19,Running Shoes Pro,Footwear,Spain,1623.84,17,691.72,Online
2023-01-19,Cotton T-Shirt,Apparel,Spain,379.92,19,147.46,Online
2023-01-19,Adjustable Dumbbells,Fitness,France,7804.32,37,4142.57,Online
2023-01-19,Yoga Mat,Fitness,France,583.46,18,263.12,In-Store
2023-01-19,Trail Sneakers,Footwear,Italy,2777.1,41,1450.93,Wholesale
2023-01-19,Yoga Mat,Fitness,Spain,810.11,24,348.74,Online
2023-01-19,Running Shoes Pro,Footwear,Spain,1176.0,14,563.04,In-Store
2023-01-19,Running Shoes Pro,Footwear,Spain,2669.01,30,1294.89,In-Store
2023-01-19,Wireless Earbuds,Electronics,Portugal,988.17,8,468.66,In-Store
2023-01-19,Cotton T-Shirt,Apparel,Germany,262.89,14,117.24,Online
2023-01-20,Adjustable Dumbbells,Fitness,Germany,3394.53,16,1704.55,Online
2023-01-20,Wireless Earbuds,Electronics,Portugal,2071.12,15,912.19,Online
2023-01-20,Denim Jacket,Apparel,France,4527.18,56,2673.29,Wholesale
2023-01-20,Denim Jacket,Apparel,Italy,782.36,9,428.49,Online
2023-01-20,Denim Jacket,Apparel,Portugal,475.26,5,235.1,Online
2023-01-20,Yoga Mat,Fitness,Italy,63.0,2,26.64,Online
2023-01-20,Smartwatch Lite,Electronics,Germany,2187.6,16,1236.32,Online
2023-01-20,Denim Jacket,Apparel,Portugal,3318.13,37,1710.84,Online
2023-01-21,Adjustable Dumbbells,Fitness,Germany,2637.23,13,1384.06,In-Store
2023-01-21,Cotton T-Shirt,Apparel,Germany,1244.68,54,415.16,Online
2023-01-21,Wireless Earbuds,Electronics,Spain,2943.86,21,1235.03,Wholesale
2023-01-21,Running Shoes Pro,Footwear,Portugal,176.18,2,83.42,Wholesale
2023-01-21,Wireless Earbuds,Electronics,France,4200.95,30,1755.85,In-Store
2023-01-21,Adjustable Dumbbells,Fitness,Germany,8446.89,37,3937.87,Online
2023-01-21,Smartwatch Lite,Electronics,Portugal,1350.52,8,579.63,Online
2023-01-21,Adjustable Dumbbells,Fitness,Germany,1428.22,7,807.4,In-Store
2023-01-21,Yoga Mat,Fitness,Netherlands,1238.27,38,535.39,Wholesale
2023-01-21,Denim Jacket,Apparel,Germany,2003.58,22,1100.7,In-Store
2023-01-22,Trail Sneakers,Footwear,Germany,1188.98,16,544.84,In-Store
2023-01-22,Cotton T-Shirt,Apparel,France,593.56,25,202.61,In-Store
2023-01-22,Yoga Mat,Fitness,Portugal,510.03,17,228.96,In-Store
2023-01-22,Denim Jacket,Apparel,Italy,4125.46,44,2153.4,Online
2023-01-22,Trail Sneakers,Footwear,Spain,1318.49,17,600.42,Wholesale
2023-01-22,Cotton T-Shirt,Apparel,Netherlands,580.89,28,225.7,Online
2023-01-22,Denim Jacket,Apparel,Netherlands,1119.1,11,517.47,Online
2023-01-22,Running Shoes Pro,Footwear,Germany,1696.54,22,943.82,In-Store
2023-01-23,Smartwatch Lite,Electronics,Portugal,3640.8,21,1637.75,Wholesale
2023-01-23,Yoga Mat,Fitness,Germany,241.99,7,100.91,Wholesale
2023-01-23,Smartwatch Lite,Electronics,Netherlands,3860.32,23,1663.09,In-Store
2023-01-24,Cotton T-Shirt,Apparel,Italy,410.51,19,157.65,Wholesale
2023-01-24,Denim Jacket,Apparel,Spain,5794.12,60,2837.15,Online
2023-01-24,Smartwatch Lite,Electronics,Portugal,4852.47,33,2592.37,In-Store
2023-01-24,Denim Jacket,Apparel,Portugal,4442.18,45,2196.69,In-Store
2023-01-25,Wireless Earbuds,Electronics,Netherlands,1858.35,15,892.66,In-Store
2023-01-25,Smartwatch Lite,Electronics,France,1755.65,11,849.48,In-Store
2023-01-25,Trail Sneakers,Footwear,Netherlands,529.95,8,284.1,Online
2023-01-25,Adjustable Dumbbells,Fitness,Germany,1624.96,8,921.82,Wholesale
2023-01-25,Running Shoes Pro,Footwear,Netherlands,1105.87,12,505.14,Wholesale
2023-01-25,Trail Sneakers,Footwear,Italy,917.08,13,460.64,In-Store
2023-01-25,Denim Jacket,Apparel,Netherlands,165.63,2,96.46,In-Store
2023-01-25,Denim Jacket,Apparel,Italy,3140.88,34,1583.1,Online
2023-01-25,Trail Sneakers,Footwear,Netherlands,1022.95,15,535.76,Online
2023-01-26,Wireless Earbuds,Electronics,France,1547.82,12,741.48,Wholesale
2023-01-26,Yoga Mat,Fitness,Germany,283.74,8,111.93,Wholesale
2023-01-26,Running Shoes Pro,Footwear,France,881.29,10,409.67,Wholesale
2023-01-27,Trail Sneakers,Footwear,Germany,471.43,6,202.52,In-Store
2023-01-27,Smartwatch Lite,Electronics,Italy,3540.94,22,1649.62,In-Store
2023-01-27,Yoga Mat,Fitness,Netherlands,842.18,22,316.35,Wholesale
2023-01-27,Smartwatch Lite,Electronics,France,8035.82,55,4289.49,In-Store
2023-01-27,Adjustable Dumbbells,Fitness,France,11887.58,57,6311.24,In-Store
2023-01-27,Trail Sneakers,Footwear,Portugal,270.07,4,134.66,In-Store
2023-01-27,Adjustable Dumbbells,Fitness,Spain,2003.21,11,1185.19,Wholesale
2023-01-27,Wireless Earbuds,Electronics,France,5289.41,45,2671.27,Wholesale
2023-01-27,Smartwatch Lite,Electronics,Spain,4286.33,27,2090.71,In-Store
2023-01-27,Smartwatch Lite,Electronics,Germany,2035.59,15,1171.4,Online
2023-01-28,Adjustable Dumbbells,Fitness,Germany,2769.75,14,1563.42,Online
2023-01-28,Denim Jacket,Apparel,Netherlands,1174.06,14,674.69,In-Store
2023-01-28,Smartwatch Lite,Electronics,Spain,6958.16,48,3469.56,Online
2023-01-28,Cotton T-Shirt,Apparel,Portugal,306.91,16,134.34,Wholesale
2023-01-28,Wireless Earbuds,Electronics,Netherlands,2967.06,23,1384.28,Online
2023-01-28,Running Shoes Pro,Footwear,Portugal,2391.29,25,1028.2,In-Store
2023-01-28,Cotton T-Shirt,Apparel,Portugal,287.21,13,100.97,Wholesale
2023-01-28,Wireless Earbuds,Electronics,Portugal,8827.99,67,3989.91,Wholesale
2023-01-28,Trail Sneakers,Footwear,Italy,2848.05,36,1217.51,In-Store
2023-01-28,Smartwatch Lite,Electronics,Netherlands,3794.42,28,2043.26,Wholesale
2023-01-28,Wireless Earbuds,Electronics,France,3118.52,28,1667.09,Online
2023-01-29,Trail Sneakers,Footwear,Spain,1300.1,17,616.74,In-Store
2023-01-29,Trail Sneakers,Footwear,Italy,676.13,10,337.49,Wholesale
2023-01-29,Yoga Mat,Fitness,Germany,813.64,25,360.07,Online
2023-01-29,Adjustable Dumbbells,Fitness,France,7376.85,34,3659.34,Wholesale
2023-01-29,Adjustable Dumbbells,Fitness,Spain,623.79,3,329.36,Online
2023-01-29,Denim Jacket,Apparel,Netherlands,659.3,8,377.39,Wholesale
2023-01-29,Trail Sneakers,Footwear,Netherlands,3380.79,50,1663.85,Wholesale
2023-01-29,Smartwatch Lite,Electronics,Italy,2301.0,17,1284.58,Online
2023-01-29,Running Shoes Pro,Footwear,Spain,1956.58,20,807.39,In-Store
2023-01-30,Adjustable Dumbbells,Fitness,France,5131.32,28,3041.03,In-Store
2023-01-30,Wireless Earbuds,Electronics,Netherlands,3540.89,25,1504.71,In-Store
2023-01-30,Adjustable Dumbbells,Fitness,Germany,3844.61,19,2169.11,Online
2023-01-30,Trail Sneakers,Footwear,Netherlands,1099.72,15,515.5,Online
2023-01-30,Running Shoes Pro,Footwear,Italy,3003.78,37,1553.8,Online
2023-01-30,Denim Jacket,Apparel,Germany,4442.43,44,2039.18,Online
2023-01-30,Adjustable Dumbbells,Fitness,Netherlands,4502.5,21,2411.15,Wholesale
2023-01-31,Smartwatch Lite,Electronics,Germany,4009.97,27,2123.75,In-Store
2023-01-31,Smartwatch Lite,Electronics,Portugal,5202.42,30,2274.78,Wholesale
2023-01-31,Smartwatch Lite,Electronics,Italy,4826.83,35,2683.64,Wholesale
2023-01-31,Trail Sneakers,Footwear,Italy,2209.35,28,939.49,Wholesale
2023-01-31,Smartwatch Lite,Electronics,Germany,1502.87,11,810.48,Online
2023-01-31,Trail Sneakers,Footwear,Germany,1564.79,20,684.32,In-Store
2023-01-31,Wireless Earbuds,Electronics,Italy,846.87,6,352.79,In-Store
2023-01-31,Smartwatch Lite,Electronics,Portugal,7947.14,49,3576.13,Online
2023-01-31,Cotton T-Shirt,Apparel,Germany,570.4,24,190.81,Online
2023-01-31,Wireless Earbuds,Electronics,France,3385.45,25,1463.47,Wholesale
2023-02-01,Trail Sneakers,Footwear,Spain,423.93,6,219.4,Online
2023-02-01,Wireless Earbuds,Electronics,Germany,3851.81,31,1783.32,In-Store
2023-02-01,Trail Sneakers,Footwear,Portugal,2104.76,31,1094.65,Wholesale
2023-02-01,Trail Sneakers,Footwear,Spain,914.32,13,462.07,Online
2023-02-01,Yoga Mat,Fitness,Germany,1840.08,49,673.44,Online
2023-02-01,Cotton T-Shirt,Apparel,Germany,512.19,23,182.7,In-Store
2023-02-01,Running Shoes Pro,Footwear,Spain,668.51,8,341.89,Online
2023-02-01,Denim Jacket,Apparel,Italy,879.09,10,465.29,Online
2023-02-01,Wireless Earbuds,Electronics,Germany,4186.2,37,2261.7,In-Store
2023-02-01,Adjustable Dumbbells,Fitness,Netherlands,924.97,5,558.15,Online
2023-02-02,Smartwatch Lite,Electronics,Portugal,5378.6,33,2580.46,In-Store
2023-02-02,Cotton T-Shirt,Apparel,France,136.45,7,56.62,In-Store
2023-02-02,Yoga Mat,Fitness,Germany,712.96,21,301.8,In-Store
2023-02-02,Yoga Mat,Fitness,Italy,129.04,4,53.53,Online
2023-02-02,Trail Sneakers,Footwear,France,2634.56,33,1160.87,Wholesale
2023-02-02,Wireless Earbuds,Electronics,Netherlands,1663.56,14,845.28,Wholesale
2023-02-02,Cotton T-Shirt,Apparel,Portugal,138.08,6,48.48,In-Store
2023-02-02,Wireless Earbuds,Electronics,Portugal,1553.55,11,681.66,Online
2023-02-02,Cotton T-Shirt,Apparel,Netherlands,418.77,19,149.08,Online
2023-02-03,Cotton T-Shirt,Apparel,Italy,338.4,17,132.02,Online
2023-02-03,Yoga Mat,Fitness,Spain,1746.19,52,705.88,In-Store
2023-02-03,Smartwatch Lite,Electronics,Spain,2289.11,15,1141.2,In-Store
2023-02-03,Adjustable Dumbbells,Fitness,France,5473.59,24,2669.47,Wholesale
2023-02-03,Yoga Mat,Fitness,Germany,974.88,29,408.71,In-Store
2023-02-03,Running Shoes Pro,Footwear,Italy,1472.07,18,753.77,Wholesale
2023-02-03,Smartwatch Lite,Electronics,Netherlands,3228.86,21,1602.85,Online
2023-02-03,Trail Sneakers,Footwear,Spain,2306.14,32,1076.4,In-Store
2023-02-03,Denim Jacket,Apparel,Italy,1765.44,19,952.07,Online
2023-02-03,Trail Sneakers,Footwear,Germany,1168.44,15,542.33,Online
2023-02-04,Running Shoes Pro,Footwear,Spain,974.34,11,459.75,In-Store
2023-02-04,Adjustable Dumbbells,Fitness,Netherlands,5939.62,27,3113.2,In-Store
2023-02-04,Adjustable Dumbbells,Fitness,Portugal,6970.27,39,4291.81,Online
2023-02-04,Running Shoes Pro,Footwear,Netherlands,1247.0,14,588.97,Wholesale
2023-02-04,Wireless Earbuds,Electronics,France,2893.08,25,1429.69,Online
2023-02-04,Cotton T-Shirt,Apparel,Portugal,780.66,40,309.74,In-Store
2023-02-05,Denim Jacket,Apparel,Netherlands,584.98,6,296.51,Online
