Date,Product,Category,Country,Revenue,Quantity,Cost,Customer_Segment
2023-01-01,Hydraulic Cylinder HC-40,Hydraulics,USA,9399.26,33,5716.3,OEM
2023-01-01,PLC Controller Unit,Automation,Germany,19174.35,22,10172.76,OEM
2023-01-01,Gearbox Assembly GB-12,Motors,South Korea,5058.97,4,2685.61,Direct Industrial
2023-01-01,PLC Controller Unit,Automation,Germany,81041.66,84,38430.87,Direct Industrial
2023-01-01,Steel Bearing 6205,Components,South Korea,91.92,25,48.67,OEM
2023-01-01,Pneumatic Valve V-200,Hydraulics,Poland,4391.26,31,2116.91,Distributor
2023-01-02,Gearbox Assembly GB-12,Motors,Mexico,39563.06,34,24412.22,OEM
2023-01-02,Gearbox Assembly GB-12,Motors,Germany,46287.83,35,24519.11,Distributor
2023-01-02,Pneumatic Valve V-200,Hydraulics,Poland,2994.25,22,1551.15,Direct Industrial
2023-01-02,Gearbox Assembly GB-12,Motors,Mexico,23896.08,20,13845.7,Distributor
2023-01-02,PLC Controller Unit,Automation,Germany,11982.93,14,6395.07,OEM
2023-01-02,Industrial Motor 5HP,Motors,China,4699.97,8,2685.72,Direct Industrial
2023-01-02,Hydraulic Cylinder HC-40,Hydraulics,Poland,1850.31,6,1050.72,Distributor
2023-01-02,Industrial Motor 5HP,Motors,South Korea,14241.29,23,8139.63,Direct Industrial
2023-01-03,Steel Bearing 6205,Components,Mexico,152.06,37,69.33,OEM
2023-01-03,Safety Sensor Array,Automation,Mexico,13237.26,73,7230.41,OEM
2023-01-03,Safety Sensor Array,Automation,Mexico,7739.53,37,3418.51,OEM
2023-01-03,Industrial Motor 5HP,Motors,China,8586.55,15,4868.5,Distributor
2023-01-03,Hydraulic Cylinder HC-40,Hydraulics,China,21305.95,76,12776.03,Direct Industrial
2023-01-03,Steel Bearing 6205,Components,South Korea,36.15,10,18.35,Distributor
2023-01-04,Industrial Motor 5HP,Motors,South Korea,12140.94,23,7955.02,Direct Industrial
2023-01-04,Pneumatic Valve V-200,Hydraulics,China,3206.49,23,1623.22,Direct Industrial
2023-01-04,Gearbox Assembly GB-12,Motors,Poland,7213.37,6,4227.79,OEM
2023-01-04,PLC Controller Unit,Automation,China,13823.15,15,7274.52,OEM
2023-01-04,Steel Bearing 6205,Components,Poland,110.13,25,46.98,Distributor
2023-01-04,Hydraulic Cylinder HC-40,Hydraulics,USA,3337.24,10,1818.51,Direct Industrial
2023-01-04,Safety Sensor Array,Automation,Poland,3813.59,19,1780.77,OEM
2023-01-04,Conveyor Belt Roller,Components,USA,337.23,12,157.16,OEM
2023-01-04,PLC Controller Unit,Automation,USA,20117.62,23,10543.15,Direct Industrial
2023-01-04,Conveyor Belt Roller,Components,Poland,241.04,10,127.18,OEM
2023-01-04,Gearbox Assembly GB-12,Motors,South Korea,67228.85,50,34052.01,Direct Industrial
2023-01-05,Industrial Motor 5HP,Motors,China,5272.99,8,2812.28,OEM
2023-01-05,Gearbox Assembly GB-12,Motors,South Korea,17842.75,15,10518.57,OEM
2023-01-05,Gearbox Assembly GB-12,Motors,Mexico,46896.4,35,24817.34,OEM
2023-01-05,Gearbox Assembly GB-12,Motors,South Korea,108655.91,89,59507.09,OEM
2023-01-06,Pneumatic Valve V-200,Hydraulics,South Korea,4589.98,34,2219.35,Distributor
2023-01-06,Hydraulic Cylinder HC-40,Hydraulics,USA,6456.27,20,3611.17,Direct Industrial
2023-01-06,Hydraulic Cylinder HC-40,Hydraulics,Mexico,1590.16,5,876.46,Distributor
2023-01-06,Industrial Motor 5HP,Motors,Mexico,10962.74,21,7159.36,Distributor
2023-01-06,Pneumatic Valve V-200,Hydraulics,China,3173.53,20,1379.64,OEM
2023-01-06,Safety Sensor Array,Automation,Mexico,10314.06,49,4807.99,Distributor
2023-01-07,Industrial Motor 5HP,Motors,China,5340.25,10,3422.55,OEM
2023-01-07,PLC Controller Unit,Automation,South Korea,22642.59,27,12262.81,Distributor
2023-01-07,Steel Bearing 6205,Components,Germany,77.16,18,35.54,OEM
2023-01-07,Hydraulic Cylinder HC-40,Hydraulics,Poland,4911.43,14,2396.35,Direct Industrial
2023-01-07,Steel Bearing 6205,Components,USA,72.73,20,37.01,Distributor
2023-01-07,Safety Sensor Array,Automation,Germany,1436.8,8,757.43,OEM
2023-01-07,PLC Controller Unit,Automation,South Korea,26859.45,31,14319.62,Distributor
2023-01-07,Hydraulic Cylinder HC-40,Hydraulics,Poland,3830.95,11,1989.81,OEM
2023-01-08,Safety Sensor Array,Automation,South Korea,5686.04,31,2801.25,Direct Industrial
2023-01-08,Conveyor Belt Roller,Components,USA,902.5,32,414.22,OEM
2023-01-08,Steel Bearing 6205,Components,Mexico,55.56,14,26.01,Direct Industrial
2023-01-08,Industrial Motor 5HP,Motors,South Korea,7368.62,13,4209.54,OEM
2023-01-08,Pneumatic Valve V-200,Hydraulics,Mexico,3677.63,27,1834.27,Distributor
2023-01-08,Safety Sensor Array,Automation,Mexico,1588.73,7,634.79,OEM
2023-01-09,Steel Bearing 6205,Components,Poland,233.86,52,98.08,OEM
2023-01-09,Pneumatic Valve V-200,Hydraulics,Poland,2769.03,21,1440.94,Distributor
2023-01-09,Safety Sensor Array,Automation,Mexico,3310.63,15,1477.73,Distributor
2023-01-09,Hydraulic Cylinder HC-40,Hydraulics,Poland,6476.18,19,3238.37,OEM
2023-01-09,Hydraulic Cylinder HC-40,Hydraulics,Germany,7611.6,27,4531.24,OEM
2023-01-09,Steel Bearing 6205,Components,USA,70.79,19,36.05,OEM
2023-01-09,Pneumatic Valve V-200,Hydraulics,Poland,2219.41,18,1176.2,Distributor
2023-01-09,Steel Bearing 6205,Components,South Korea,13.37,3,5.7,OEM
2023-01-10,Hydraulic Cylinder HC-40,Hydraulics,Poland,7267.44,26,4527.64,Distributor
2023-01-10,Steel Bearing 6205,Components,Poland,177.47,45,83.45,OEM
2023-01-10,Hydraulic Cylinder HC-40,Hydraulics,Poland,13884.0,41,7533.63,Distributor
2023-01-10,Conveyor Belt Roller,Components,Mexico,220.06,8,96.57,Distributor
2023-01-10,Conveyor Belt Roller,Components,South Korea,662.22,24,303.6,OEM
2023-01-10,Hydraulic Cylinder HC-40,Hydraulics,Mexico,18036.55,52,8986.54,Direct Industrial
2023-01-10,Safety Sensor Array,Automation,Germany,4052.39,18,1666.06,Distributor
2023-01-10,Steel Bearing 6205,Components,South Korea,30.39,7,12.87,Distributor
2023-01-10,Conveyor Belt Roller,Components,Mexico,827.95,31,392.96,OEM
2023-01-10,Pneumatic Valve V-200,Hydraulics,Germany,7331.75,53,3474.24,Distributor
2023-01-10,Industrial Motor 5HP,Motors,USA,22948.19,35,12076.09,Distributor
2023-01-11,Steel Bearing 6205,Components,Mexico,82.24,20,38.72,Distributor
2023-01-11,Conveyor Belt Roller,Components,Poland,859.83,35,440.26,OEM
2023-01-12,Industrial Motor 5HP,Motors,Germany,11388.29,18,6197.58,Distributor
2023-01-12,Safety Sensor Array,Automation,Germany,8715.53,38,3595.84,OEM
2023-01-12,Hydraulic Cylinder HC-40,Hydraulics,China,2986.35,9,1509.84,OEM
2023-01-13,Conveyor Belt Roller,Components,South Korea,574.87,22,273.44,OEM
2023-01-13,Industrial Motor 5HP,Motors,Germany,13486.99,26,8469.97,OEM
2023-01-13,Steel Bearing 6205,Components,USA,90.51,25,47.87,OEM
2023-01-13,PLC Controller Unit,Automation,USA,1858.14,2,960.15,OEM
2023-01-13,Steel Bearing 6205,Components,Germany,88.35,23,45.73,Distributor
2023-01-13,Conveyor Belt Roller,Components,Poland,861.04,29,358.12,Direct Industrial
2023-01-13,Safety Sensor Array,Automation,Poland,4376.34,21,1952.0,Distributor
2023-01-13,Safety Sensor Array,Automation,Mexico,1838.71,8,730.38,Direct Industrial
2023-01-13,Pneumatic Valve V-200,Hydraulics,Mexico,3227.98,24,1668.28,OEM
2023-01-14,Pneumatic Valve V-200,Hydraulics,China,1115.09,9,597.76,Distributor
2023-01-14,Safety Sensor Array,Automation,China,4232.34,23,2271.77,OEM
2023-01-14,Hydraulic Cylinder HC-40,Hydraulics,Mexico,5775.39,17,3067.62,OEM
2023-01-15,Pneumatic Valve V-200,Hydraulics,China,4803.71,33,2155.6,Direct Industrial
2023-01-15,Hydraulic Cylinder HC-40,Hydraulics,Mexico,4517.77,14,2544.46,Direct Industrial
2023-01-15,Steel Bearing 6205,Components,China,215.35,49,91.93,Distributor
2023-01-16,Safety Sensor Array,Automation,South Korea,11347.25,50,4706.21,Direct Industrial
2023-01-16,Conveyor Belt Roller,Components,South Korea,1268.49,43,556.91,OEM
2023-01-16,Safety Sensor Array,Automation,South Korea,4665.54,25,2385.56,OEM
2023-01-16,PLC Controller Unit,Automation,Mexico,17288.99,19,8568.42,OEM
2023-01-16,Steel Bearing 6205,Components,Poland,43.7,10,19.15,Direct Industrial
2023-01-16,Industrial Motor 5HP,Motors,USA,10990.66,18,6013.61,Distributor
2023-01-16,Steel Bearing 6205,Components,Poland,88.68,24,44.76,Distributor
2023-01-16,PLC Controller Unit,Automation,Poland,21265.11,23,11332.7,Direct Industrial
2023-01-16,Hydraulic Cylinder HC-40,Hydraulics,Poland,8773.61,26,4659.41,OEM
2023-01-16,Gearbox Assembly GB-12,Motors,Poland,1168.04,1,722.31,Direct Industrial
2023-01-17,Industrial Motor 5HP,Motors,Germany,21727.39,40,13009.07,OEM
2023-01-17,Industrial Motor 5HP,Motors,USA,7468.86,13,4618.22,Direct Industrial
2023-01-17,Pneumatic Valve V-200,Hydraulics,South Korea,4451.16,30,2054.32,Direct Industrial
2023-01-17,Conveyor Belt Roller,Components,South Korea,827.64,29,374.02,Distributor
2023-01-17,Steel Bearing 6205,Components,South Korea,111.25,25,45.48,Distributor
2023-01-17,Conveyor Belt Roller,Components,China,350.06,13,163.52,Direct Industrial
2023-01-17,Industrial Motor 5HP,Motors,Poland,13380.26,20,7091.83,OEM
2023-01-17,Steel Bearing 6205,Components,South Korea,102.29,28,55.37,Direct Industrial
2023-01-17,Hydraulic Cylinder HC-40,Hydraulics,USA,7945.23,28,4757.85,OEM
2023-01-17,Steel Bearing 6205,Components,Germany,83.62,20,38.92,Direct Industrial
2023-01-17,Hydraulic Cylinder HC-40,Hydraulics,Germany,7609.45,27,4750.7,Direct Industrial
2023-01-18,Steel Bearing 6205,Components,Mexico,128.95,30,55.28,OEM
2023-01-18,Hydraulic Cylinder HC-40,Hydraulics,Germany,1398.35,5,917.65,Distributor
2023-01-18,Gearbox Assembly GB-12,Motors,China,30164.43,27,18516.26,Direct Industrial
2023-01-19,Safety Sensor Array,Automation,USA,4037.82,22,1995.94,OEM
2023-01-19,Hydraulic Cylinder HC-40,Hydraulics,USA,7537.34,26,4704.49,Direct Industrial
2023-01-19,PLC Controller Unit,Automation,USA,12966.36,14,6601.84,Direct Industrial
2023-01-19,Pneumatic Valve V-200,Hydraulics,USA,2306.68,15,1037.41,Distributor
2023-01-19,Pneumatic Valve V-200,Hydraulics,USA,4515.47,36,2387.21,OEM
2023-01-19,PLC Controller Unit,Automation,Poland,28848.58,37,17490.39,Distributor
2023-01-19,Pneumatic Valve V-200,Hydraulics,USA,2947.57,23,1538.09,Distributor
2023-01-19,Gearbox Assembly GB-12,Motors,Poland,22478.13,21,13891.57,Distributor
2023-01-20,Conveyor Belt Roller,Components,China,403.31,15,191.07,OEM
2023-01-20,Conveyor Belt Roller,Components,Poland,913.49,30,357.16,Direct Industrial
2023-01-21,Safety Sensor Array,Automation,Poland,4302.79,22,2127.86,Distributor
2023-01-21,Hydraulic Cylinder HC-40,Hydraulics,China,16819.9,54,9344.75,OEM
2023-01-21,Conveyor Belt Roller,Components,China,787.89,30,367.95,Direct Industrial
2023-01-21,Hydraulic Cylinder HC-40,Hydraulics,Germany,7360.04,21,3830.97,Distributor
2023-01-21,Steel Bearing 6205,Components,USA,53.63,15,29.11,Distributor
2023-01-21,Gearbox Assembly GB-12,Motors,South Korea,44977.88,38,26620.45,Distributor
2023-01-21,Conveyor Belt Roller,Components,Mexico,475.21,18,225.21,Distributor
2023-01-21,Steel Bearing 6205,Components,Germany,94.34,26,50.9,Direct Industrial
2023-01-21,Hydraulic Cylinder HC-40,Hydraulics,South Korea,2320.64,7,1266.44,Direct Industrial
2023-01-21,PLC Controller Unit,Automation,China,14253.16,18,8844.12,Distributor
2023-01-22,Gearbox Assembly GB-12,Motors,USA,25702.94,19,12919.73,OEM
2023-01-22,Safety Sensor Array,Automation,Mexico,4966.34,22,2075.2,Distributor
2023-01-22,Steel Bearing 6205,Components,Germany,92.44,25,49.45,OEM
